The Twilight Zone Tower of TerrorTM,40in (102cm),"Big Drops, Thrill Rides, Dark, Scary, Indoor",Yes,Hollywood Studios,Sunset Boulevard,Take a plunge…into the Twilight Zone. Has a great queue and the drop sequence will be a little different every time
Walt Disney Presents,None,Indoor,No,Hollywood Studios,Animation Courtyard,"Formerly called ""One Man's Dream"", this is an exhibit about Walt Disney's life and the history of the Disney Parks"
Mickey and Minnie's Runaway Railroad,None,Classics,No,Hollywood Studios,Hollywood Boulevard,A new coaster through the world of animation. The first Mickey Mouse themed ride!
Millennium Falcon: Smuggler's Run,38in (97cm),"Small Drops, Thrill Rides, Dark, Loud",No,Hollywood Studios,Star Wars: Galaxy's Edge,Take the Millennium Falcon on a heist where you get to control the ship. Your results will affect your experience in the rest of the land
Star Wars: Path of the Jedi,None,"Dark, Star Wars, Indoor",No,Hollywood Studios,Echo Lake,A short film about the Jedi
Star Wars: Rise of the Resistance,40in (102cm),"Small Drops, Thrill Rides, Dark, Loud",No,Hollywood Studios,Star Wars: Galaxy's Edge,Escape an Empire base. Hasn't come out yet
Affection Section,None,"Animal Encounters, Interactive",No,Animal Kingdom,Rafiki's Planet Watch,This is essentially the petting zoo of Disney World. Avoid if you don't enjoy that sort of thing
The Animation Experience at Conservation Station,None,None,Yes,Animal Kingdom,Rafiki's Planet Watch,Create your own sketch of an animated Disney character
Avatar Flight of Passage,44in (113cm),"Thrill Rides, Indoor, Avatar",Yes,Animal Kingdom,Pandora--The World of Avatar,"If you enjoy motion simulators, this ride is a must-do; you ride a banshee through Pandora and it feels exactly like flying."
The Boneyard,None,Play Areas,No,Animal Kingdom,DinoLand U.S.A,A dinosaur themed playground for kids
Conservation Station,None,"Animal Encounters, Indoor, Interactive, Play Disney Parks",No,Animal Kingdom,Rafiki's Planet Watch,Look at Disney vets and get some information about conservation
DINOSAUR,40in (102cm),"Small Drops, Thrill Rides, Dark, Scary, Indoor",Yes,Animal Kingdom,DinoLand U.S.A,Take a trip back in time to save a special dinosaur--just don't get eaten or obliterated by a meteor along the way! This ride is very dark and is very scary for some people
Dino-Sue,None,None,No,Animal Kingdom,DinoLand U.S.A,"A replication of Sue the T-Rex skeleton, who can be found in Chicago's Field Museum"
Discovery Island Trails,None,Animal Encounters,No,Animal Kingdom,Discovery Island,Take a walk around the beautiful Discovery Island and see some wild animals along the way
Expedition Everest - Legend of the Forbidden Mountain,44in (113cm),"Big Drops, Thrill Rides, Dark",Yes,Animal Kingdom,Asia,A coaster that goes through the Himalayas and past the Yeti (who doesn't actually move now but appears to via the use of strobe lights)
Fossil Fun Games,None,Interactive,No,Animal Kingdom,DinoLand U.S.A,A series of carnival games themed around dinosaurs
Gorilla Falls Exploration Trails,None,"Animal Encounters, Play Disney Parks",No,Animal Kingdom,Africa,Walking paths with views of gorillas
It's Tough to be a Bug!,None,"Dark, Loud, Scary, Indoor, Stage Shows",Yes,Animal Kingdom,Discovery Island,Stage show based on the movie A Bug's Life. May scare younger children.
Kali River Rapids,38in (97cm),"Small Drops, Thrill Rides, Water Rides, Spinning",Yes,Animal Kingdom,Asia,"A raft ride that takes you through the forests of Asia, and then also has a message about conservation. You will almost certainly get wet, so be careful about when you ride this."
Kilimanjaro Safaris,None,"Slow Rides, Animal Encounters, Classics",Yes,Animal Kingdom,Africa,"Go on a safari through a Magic Kingdom sized animal preserve. What you see depends on the animals and when you're going, so be prepared for varying experiences."
Maharajah Jungle Trek,None,"Animal Encounters, Play Disney Parks",No,Animal Kingdom,Asia,See some tigers in constructed ruins
Na'vi River Journey,None,"Slow Rides, Indoor, Avatar",Yes,Animal Kingdom,Pandora--The World of Avatar,"The actual ride itself doesn't have much to see, but its ending has the Shaman of Songs, one of the best Disney Audio Animatronics to date"
The Oasis Exhibits,None,Animal Encounters,No,Animal Kingdom,Oasis,Animals you can see near the entrance to the park
Tree of Life,None,Play Disney Parks,No,Animal Kingdom,Discovery Island,"This is the symbol of Animal Kingdom, a giant synthetic tree with carvings of animals everywhere"
TriceraTop Spin,None,"Slow Rides, Spinning",No,Animal Kingdom,DinoLand U.S.A,A reskinned version of Dumbo with dinosaurs instead of elephants
Primeval Whirl,48in (122cm),"Small Drops, Thrill Rides, Spinning",Yes,Animal Kingdom,DinoLand U.S.A,"A ""Wild Mouse"" coaster with cartoon dinosaurs"
